first_name,last_name,phone,email,website,company
Alice,Smith,14155550101,alice.smith+spam@gmail.com,https://smithcorp.com/about,Smith Corp LLC
Bob,Jones,(212) 555-0202,sales@acme.com,https://www.acme.com/contact,Acme LLC
Charlie,Brown,6505550303,charlie.brown@test.com,http://brown.org,Brown Co
David,Miller,512-555-0999,david.miller@work.com,http://miller.net,Miller LLC
Karen,Anderson,(650) 555-4370,karen.anderson7524@yahoo.com,https://www.starkindustriesltd.com,Stark Industries Ltd.
David,Moore,(415) 555-5461,david.moore2113@yahoo.com,https://www.acmeinc.com,Acme Inc.
Charles,Wilson,(212) 555-3331,charles.wilson3763@yahoo.com,https://www.hooliinc.com,Hooli Inc.
Karen,Wilson,(415) 555-3768,karen.wilson9105@yahoo.com,https://www.umbrellacorpinc.com,Umbrella Corp Inc.
Michael,Martin,(415) 555-4711,michael.martin1691@yahoo.com,https://www.soylentinc.com,Soylent Inc.
James,Johnson,(512) 555-7694,james.johnson2521@yahoo.com,https://www.bluthcompanycorp.com,Bluth Company Corp.
Richard,Rodriguez,(650) 555-9525,richard.rodriguez1300@yahoo.com,https://www.hoolicorp.com,Hooli Corp.
Karen,Rodriguez,(305) 555-5655,karen.rodriguez3520@yahoo.com,https://www.acmecorp.com,Acme Corp.
Susan,Smith,(305) 555-3574,susan.smith9644@yahoo.com,https://www.oscorpltd.com,Oscorp Ltd.
Karen,Jones,161-555-9974,karen.jones8160@yahoo.com,https://www.umbrellacorpllc.com,Umbrella Corp LLC
Elizabeth,Hernandez,(305) 555-5714,elizabeth.hernandez8584@yahoo.com,https://www.tyrellltd.com,Tyrell Ltd.
John,Moore,(415) 555-1984,john.moore1633@yahoo.com,https://www.veerdyinc.com,Veerdy Inc.
John,Thomas,144-555-5447,john.thomas3891@yahoo.com,https://www.bluthcompanyinc.com,Bluth Company Inc.
John,Miller,(305) 555-6992,john.miller7632@yahoo.com,https://www.initechltd.com,Initech Ltd.
Michael,Martin,(212) 555-1746,michael.martin6455@yahoo.com,https://www.veerdyco.com,Veerdy Co.
Barbara,Lopez,(512) 555-8660,barbara.lopez4854@yahoo.com,https://www.veerdycorp.com,Veerdy Corp.
Patricia,Davis,(650) 555-5253,patricia.davis5534@yahoo.com,https://www.acmellc.com,Acme LLC
Robert,Wilson,(650) 555-1528,robert.wilson7569@yahoo.com,https://www.oscorpllc.com,Oscorp LLC
John,Lopez,029-555-6281,john.lopez8373@yahoo.com,https://www.vandelayinc.com,Vandelay Inc.
David,Martin,(650) 555-6239,david.martin7615@yahoo.com,https://www.veerdycorp.com,Veerdy Corp.
Mary,Moore,(212) 555-6680,mary.moore4110@yahoo.com,https://www.bluthcompanyltd.com,Bluth Company Ltd.
Richard,Hernandez,(650) 555-1340,richard.hernandez9679@yahoo.com,https://www.hooliinc.com,Hooli Inc.
Michael,Garcia,(512) 555-5298,michael.garcia9879@yahoo.com,https://www.wayneenterprisesco.com,Wayne Enterprises Co.
William,Hernandez,(512) 555-1316,william.hernandez4186@yahoo.com,https://www.initechco.com,Initech Co.
Sarah,Lopez,(415) 555-7051,sarah.lopez6853@yahoo.com,https://www.wayneenterprisescorp.com,Wayne Enterprises Corp.
Elizabeth,Anderson,(650) 555-6259,elizabeth.anderson1744@yahoo.com,https://www.cyberdynecorp.com,Cyberdyne Corp.
Charles,Thomas,191-555-9290,charles.thomas6043@yahoo.com,https://www.soylentllc.com,Soylent LLC
Patricia,Wilson,(305) 555-1917,patricia.wilson5198@yahoo.com,https://www.wayneenterprisesinc.com,Wayne Enterprises Inc.
Patricia,Martinez,(512) 555-7329,patricia.martinez7707@yahoo.com,https://www.initechinc.com,Initech Inc.
Sarah,Moore,(650) 555-9657,sarah.moore5559@yahoo.com,https://www.wayneenterprisesinc.com,Wayne Enterprises Inc.
John,Moore,(212) 555-7912,john.moore8537@yahoo.com,https://www.initechco.com,Initech Co.
Robert,Martinez,(650) 555-4031,robert.martinez5249@yahoo.com,https://www.apexltd.com,Apex Ltd.
Michael,Rodriguez,(512) 555-5408,michael.rodriguez5453@yahoo.com,https://www.umbrellacorpco.com,Umbrella Corp Co.
Joseph,Smith,(512) 555-6001,joseph.smith7884@yahoo.com,https://www.veerdyinc.com,Veerdy Inc.
