first_name,last_name,phone,email,website,company
Alice,Smith,14155550101,alice.smith+spam@gmail.com,https://smithcorp.com/about,Smith Corp LLC
Bob,Jones,(212) 555-0202,sales@acme.com,https://www.acme.com/contact,Acme LLC
Charlie,Brown,6505550303,charlie.brown@test.com,http://brown.org,Brown Co
David,Miller,512-555-0999,david.miller@work.com,http://miller.net,Miller LLC
James,Moore,(650) 555-7803,james.moore7511@yahoo.com,https://www.initechcorp.com,Initech Corp.
James,Smith,(512) 555-9380,james.smith5346@yahoo.com,https://www.bluthcompanycorp.com,Bluth Company Corp.
Mary,Anderson,(415) 555-3450,mary.anderson7431@yahoo.com,https://www.veerdyinc.com,Veerdy Inc.
Mary,Davis,(212) 555-5787,mary.davis9515@yahoo.com,https://www.globexllc.com,Globex LLC
William,Rodriguez,(305) 555-8557,william.rodriguez2780@yahoo.com,https://www.wayneenterprisesllc.com,Wayne Enterprises LLC
Michael,Jones,(512) 555-1438,michael.jones2406@yahoo.com,https://www.soylentltd.com,Soylent Ltd.
Mary,Johnson,(512) 555-5714,mary.johnson3783@yahoo.com,https://www.wayneenterprisescorp.com,Wayne Enterprises Corp.
Richard,Hernandez,(305) 555-1357,richard.hernandez9405@yahoo.com,https://www.cyberdynellc.com,Cyberdyne LLC
Sarah,Smith,(415) 555-6449,sarah.smith6524@yahoo.com,https://www.cyberdynellc.com,Cyberdyne LLC
William,Thomas,(212) 555-2162,william.thomas7580@yahoo.com,https://www.acmeltd.com,Acme Ltd.
Karen,Johnson,(415) 555-9355,karen.johnson7576@yahoo.com,https://www.bluthcompanyltd.com,Bluth Company Ltd.
William,Jones,(212) 555-7748,william.jones2514@yahoo.com,https://www.soylentllc.com,Soylent LLC
Charles,Rodriguez,(212) 555-7948,charles.rodriguez6351@yahoo.com,https://www.wayneenterprisesco.com,Wayne Enterprises Co.
Joseph,Williams,(650) 555-9607,joseph.williams9584@yahoo.com,https://www.starkindustriesllc.com,Stark Industries LLC
Joseph,Moore,(305) 555-9231,joseph.moore8739@yahoo.com,https://www.veerdyinc.com,Veerdy Inc.
Patricia,Moore,(415) 555-6623,patricia.moore7639@yahoo.com,https://www.soylentllc.com,Soylent LLC
Thomas,Thomas,(650) 555-4338,thomas.thomas4850@yahoo.com,https://www.tyrellco.com,Tyrell Co.
John,Johnson,(212) 555-9856,john.johnson2593@yahoo.com,https://www.hooliinc.com,Hooli Inc.
Susan,Wilson,(305) 555-8181,susan.wilson9820@yahoo.com,https://www.globexllc.com,Globex LLC
David,Williams,(650) 555-2282,david.williams2956@yahoo.com,https://www.acmecorp.com,Acme Corp.
Jennifer,Gonzalez,(512) 555-9758,jennifer.gonzalez5873@yahoo.com,https://www.wayneenterprisesltd.com,Wayne Enterprises Ltd.
John,Garcia,(415) 555-1851,john.garcia1633@yahoo.com,https://www.vandelayinc.com,Vandelay Inc.
Karen,Lopez,(512) 555-5201,karen.lopez7335@yahoo.com,https://www.apexcorp.com,Apex Corp.
Charles,Gonzalez,(305) 555-6514,charles.gonzalez7443@yahoo.com,https://www.apexltd.com,Apex Ltd.
William,Garcia,(415) 555-4219,william.garcia8342@yahoo.com,https://www.veerdyllc.com,Veerdy LLC
Susan,Moore,(212) 555-4826,susan.moore8082@yahoo.com,https://www.apexcorp.com,Apex Corp.
Charles,Taylor,(212) 555-3245,charles.taylor3165@yahoo.com,https://www.wayneenterprisesllc.com,Wayne Enterprises LLC
David,Jones,(512) 555-1946,david.jones1305@yahoo.com,https://www.cyberdyneinc.com,Cyberdyne Inc.
Jennifer,Jackson,(305) 555-1139,jennifer.jackson5108@yahoo.com,https://www.initechllc.com,Initech LLC
Robert,Jackson,(212) 555-2439,robert.jackson7800@yahoo.com,https://www.initechllc.com,Initech LLC
Jessica,Lopez,(305) 555-7636,jessica.lopez8503@yahoo.com,https://www.hooliltd.com,Hooli Ltd.
Linda,Garcia,(305) 555-2860,linda.garcia8471@yahoo.com,https://www.hooliinc.com,Hooli Inc.
Sarah,Williams,(212) 555-3762,sarah.williams5650@yahoo.com,https://www.wayneenterprisesco.com,Wayne Enterprises Co.
John,Wilson,(415) 555-2406,john.wilson3197@yahoo.com,https://www.acmecorp.com,Acme Corp.
